Designator,Mid X,Mid Y,Layer,Rotation
C3, 7.32,18.36,Top,0.0
C4, 8.38,27.23,Top,90.0
C5,-11.62,46.39,Top,180.0
C6,-13.26,44.04,Top,0.0
C7,-13.26,41.99,Top,0.0
C14, 3.76,16.31,Top,180.0
C19, 2.49, 7.65,Top,0.0
C20, 2.06, 9.25,Top,0.0
D3, 7.01,53.92,Top,270.0
ESP32,-10.68,57.28,Top,0.0
FAN, 9.39,53.94,Top,270.0
IC2, 0.00,12.40,Top,90.0
IC3, 5.23,22.96,Top,270.0
J2,-0.03,69.82,Top,0.0
J3,15.34,65.96,Top,270.0
J4,15.34,53.94,Top,270.0
J5, 0.00, 1.57,Top,0.0
Q1,-3.05,22.05,Top,0.0
Q2, 7.01,48.77,Top,0.0
Q3,-4.95,41.12,Top,180.0
Q5, 6.08,63.18,Top,0.0
R1,-13.89,46.41,Top,0.0
R2, 6.05,45.75,Top,270.0
R3, 7.09,45.75,Top,270.0
R4,-1.64, 6.88,Top,270.0
R5,-2.68, 6.88,Top,270.0
R7,-5.41,44.07,Top,0.0
R8, 1.37,37.26,Top,0.0
R9,-0.97,22.05,Top,270.0
R14,-5.11,22.05,Top,90.0
R16, 4.99,60.85,Top,180.0
R18, 5.71,65.71,Top,180.0
R19, 9.36,66.36,Top,180.0
RESET, 8.28,11.84,Top,90.0
SENSOR, 9.50,68.96,Top,0.0
C8, 2.72,32.94,Bottom,270.0
C11, 2.54,48.46,Bottom,270.0
C12, 2.69,63.98,Bottom,270.0
C13,-2.84,56.76,Bottom,90.0
C18,-3.66,45.48,Bottom,0.0
D1, 0.00,33.00,Bottom,180.0
D2, 0.00,48.50,Bottom,180.0
D4, 0.00,64.01,Bottom,180.0
D5,14.30,39.13,Bottom,0.0
IR1, 0.00,41.17,Bottom,180.0
PT1, 0.00,56.25,Bottom,180.0
Q4,16.48,43.79,Bottom,0.0
R6,-2.84,54.70,Bottom,90.0
R10,15.95,46.95,Bottom,90.0
R11,16.99,46.95,Bottom,90.0
R12,-8.86,66.34,Bottom,270.0
R13,-12.45,66.34,Bottom,270.0
R15,-3.66,44.34,Bottom,180.0
R17, 7.82,63.47,Bottom,90.0
SG1,14.38,34.90,Bottom,0.0
